FileName,EggCount,Day,Repeat ,Condition,
well_43_2023-10-20_204922_.jpg,17,D1,1,Rap_25,
well_44_2023-10-20_204928_.jpg,63,D1,1,Rap_25,
well_45_2023-10-20_204934_.jpg,82,D1,1,Rap_25,
well_46_2023-10-20_204939_.jpg,88,D1,1,Rap_25,
well_47_2023-10-20_204945_.jpg,2,D1,1,Rap_25,
well_48_2023-10-20_204951_.jpg,39,D1,1,Rap_25,
well_25_2023-10-20_213513_.jpg,1,D3,1,Rap_25,
well_26_2023-10-20_213518_.jpg,2,D3,1,Rap_25,
well_27_2023-10-20_213524_.jpg,5,D3,1,Rap_25,
well_28_2023-10-20_213529_.jpg,3,D3,1,Rap_25,
well_29_2023-10-20_213535_.jpg,2,D3,1,Rap_25,
well_30_2023-10-20_213540_.jpg,29,D3,1,Rap_25,
well_31_2023-10-20_213546_.jpg,0,D3,1,Rap_25,
well_32_2023-10-20_213552_.jpg,5,D3,1,Rap_25,
well_33_2023-10-20_213557_.jpg,1,D3,1,Rap_25,
well_34_2023-10-20_213603_.jpg,0,D3,1,Rap_25,
well_35_2023-10-20_213608_.jpg,1,D3,1,Rap_25,
well_36_2023-10-20_213614_.jpg,2,D3,1,Rap_25,
well_37_2023-10-20_213620_.jpg,35,D3,1,Rap_25,
well_38_2023-10-20_213625_.jpg,4,D3,1,Rap_25,
well_39_2023-10-20_213631_.jpg,1,D3,1,Rap_25,
well_40_2023-10-20_213636_.jpg,0,D3,1,Rap_25,
well_41_2023-10-20_213642_.jpg,1,D3,1,Rap_25,
well_42_2023-10-20_213647_.jpg,0,D3,1,Rap_25,
well_43_2023-10-20_213653_.jpg,0,D3,1,Rap_25,
well_44_2023-10-20_213659_.jpg,3,D3,1,Rap_25,
well_45_2023-10-20_213704_.jpg,3,D3,1,Rap_25,
well_46_2023-10-20_213710_.jpg,1,D3,1,Rap_25,
well_47_2023-10-20_213715_.jpg,1,D3,1,Rap_25,
well_48_2023-10-20_213721_.jpg,0,D3,1,Rap_25,
well_2_2023-10-20_210413_.jpg,61,D1,1,Chem3_0.1,
well_3_2023-10-20_210419_.jpg,60,D1,1,Chem3_0.1,
well_4_2023-10-20_210424_.jpg,68,D1,1,Chem3_0.1,
