Condition,Repeat,Day ,EggCounts,FileName
WT,4,D3,51,well_7_2023-12-20_141754_.jpg
WT,4,D3,16,well_8_2023-12-20_141800_.jpg
WT,4,D3,1,well_9_2023-12-20_141805_.jpg
WT,4,D3,24,well_10_2023-12-20_141811_.jpg
WT,4,D3,70,well_11_2023-12-20_141816_.jpg
WT,4,D3,100,well_12_2023-12-20_141822_.jpg
WT,4,D3,63,well_13_2023-12-20_141828_.jpg
WT,4,D3,70,well_14_2023-12-20_141833_.jpg
WT,4,D3,49,well_15_2023-12-20_141839_.jpg
WT,4,D3,32,well_16_2023-12-20_141844_.jpg
WT,6,D1,42,well_2_2024-02-20_104020_.jpg
WT,6,D1,19,well_3_2024-02-20_104026_.jpg
WT,6,D1,18,well_4_2024-02-20_104031_.jpg
WT,6,D1,24,well_5_2024-02-20_104037_.jpg
WT,6,D1,50,well_6_2024-02-20_104042_.jpg
WT,6,D1,6,well_7_2024-02-20_104048_.jpg
WT,6,D1,24,well_8_2024-02-20_104054_.jpg
WT,6,D1,60,well_9_2024-02-20_104059_.jpg
WT,6,D1,22,well_10_2024-02-20_104105_.jpg
WT,6,D1,54,well_11_2024-02-20_104111_.jpg
WT,6,D1,57,well_12_2024-02-20_104116_.jpg
WT,6,D1,29,well_13_2024-02-20_104122_.jpg
WT,6,D1,33,well_14_2024-02-20_104128_.jpg
WT,6,D1,40,well_15_2024-02-20_104133_.jpg
WT,6,D1,36,well_16_2024-02-20_104139_.jpg
WT,6,D3,41,well_2_2024-02-20_105013_.jpg
WT,6,D3,12,well_3_2024-02-20_105019_.jpg
WT,6,D3,39,well_4_2024-02-20_105025_.jpg
WT,6,D3,19,well_5_2024-02-20_105030_.jpg
WT,6,D3,43,well_6_2024-02-20_105036_.jpg
WT,6,D3,6,well_7_2024-02-20_105042_.jpg
WT,6,D3,19,well_8_2024-02-20_105047_.jpg
WT,6,D3,37,well_9_2024-02-20_105053_.jpg
WT,6,D3,20,well_10_2024-02-20_105058_.jpg
WT,6,D3,53,well_11_2024-02-20_105104_.jpg
WT,6,D3,46,well_12_2024-02-20_105110_.jpg
WT,6,D3,21,well_13_2024-02-20_105115_.jpg
WT,6,D3,38,well_14_2024-02-20_105121_.jpg
WT,6,D3,56,well_15_2024-02-20_105127_.jpg
WT,6,D3,33,well_16_2024-02-20_105133_.jpg
WT,7,D1,23,well_2_2024-02-20_104450_.jpg
WT,7,D1,53,well_3_2024-02-20_104456_.jpg
WT,7,D1,23,well_4_2024-02-20_104501_.jpg
WT,7,D1,42,well_5_2024-02-20_104507_.jpg
WT,7,D1,70,well_6_2024-02-20_104512_.jpg
WT,7,D1,78,well_7_2024-02-20_104518_.jpg
WT,7,D1,74,well_8_2024-02-20_104523_.jpg
WT,7,D1,53,well_9_2024-02-20_104529_.jpg
WT,7,D1,54,well_10_2024-02-20_104534_.jpg
WT,7,D1,59,well_11_2024-02-20_104540_.jpg
WT,7,D1,30,well_12_2024-02-20_104545_.jpg
WT,7,D1,62,well_13_2024-02-20_104551_.jpg
WT,7,D1,97,well_14_2024-02-20_104556_.jpg
WT,7,D1,59,well_15_2024-02-20_104602_.jpg
WT,7,D1,31,well_16_2024-02-20_104608_.jpg
WT,7,D3,59,well_2_2024-02-20_104450_.jpg
WT,7,D3,78,well_3_2024-02-20_104456_.jpg
WT,7,D3,33,well_4_2024-02-20_104501_.jpg
WT,7,D3,57,well_5_2024-02-20_104507_.jpg
WT,7,D3,82,well_6_2024-02-20_104512_.jpg
WT,7,D3,65,well_7_2024-02-20_104518_.jpg
WT,7,D3,89,well_8_2024-02-20_104523_.jpg
WT,7,D3,41,well_9_2024-02-20_104529_.jpg
WT,7,D3,100,well_10_2024-02-20_104534_.jpg
WT,7,D3,113,well_11_2024-02-20_104540_.jpg
WT,7,D3,61,well_12_2024-02-20_104545_.jpg
WT,7,D3,64,well_13_2024-02-20_104551_.jpg
WT,7,D3,77,well_14_2024-02-20_104556_.jpg
WT,7,D3,60,well_15_2024-02-20_104602_.jpg
WT,7,D3,69,well_16_2024-02-20_104608_.jpg
MixedGrapeJuice,1,D1,0,well_1_2023-04-18_122027_.jpg
MixedGrapeJuice,1,D1,46,well_2_2023-04-18_122033_
MixedGrapeJuice,1,D1,19,well_3_2023-04-18_122039_
MixedGrapeJuice,1,D1,15,well_4_2023-04-18_122044_
MixedGrapeJuice,1,D1,6,well_5_2023-04-18_122050_
MixedGrapeJuice,1,D1,36,well_6_2023-04-18_122055_
MixedGrapeJuice,1,D1,17,well_7_2023-04-18_122101_
MixedGrapeJuice,1,D1,47,well_8_2023-04-18_122106_
MixedGrapeJuice,1,D1,23,well_9_2023-04-18_122112_
MixedGrapeJuice,1,D1,58,well_10_2023-04-18_122118_
MixedGrapeJuice,1,D1,43,well_11_2023-04-18_122123_
MixedGrapeJuice,1,D1,77,well_12_2023-04-18_122129_
MixedGrapeJuice,1,D1,32,well_13_2023-04-18_122134_
MixedGrapeJuice,1,D1,25,well_14_2023-04-18_122140_
MixedGrapeJuice,1,D1,10,well_15_2023-04-18_122145_
MixedGrapeJuice,1,D1,22,well_16_2023-04-18_122151_
MixedGrapeJuice,1,D1,29,well_17_2023-04-18_122157_
MixedGrapeJuice,1,D1,33,well_18_2023-04-18_122202_
MixedGrapeJuice,1,D1,47,well_19_2023-04-18_122208_
MixedGrapeJuice,1,D1,111,well_20_2023-04-18_122213_
MixedGrapeJuice,1,D1,7,well_21_2023-04-18_122219_
MixedGrapeJuice,1,D1,45,well_22_2023-04-18_122225_
MixedGrapeJuice,1,D1,32,well_23_2023-04-18_122230_
MixedGrapeJuice,1,D1,54,well_24_2023-04-18_122236_
MixedGrapeJuice,1,D1,15,well_25_2023-04-18_122241_
MixedGrapeJuice,1,D1,19,well_26_2023-04-18_122247_
MixedGrapeJuice,1,D1,41,well_27_2023-04-18_122253_
MixedGrapeJuice,1,D1,49,well_28_2023-04-18_122258_
MixedGrapeJuice,1,D1,28,well_29_2023-04-18_122304_
MixedGrapeJuice,1,D1,51,well_30_2023-04-18_122309_
MixedGrapeJuice,1,D3,12,well_1_2023-04-19_161743_
MixedGrapeJuice,1,D3,10,well_2_2023-04-19_161748_
MixedGrapeJuice,1,D3,17,well_3_2023-04-19_161754_
MixedGrapeJuice,1,D3,5,well_4_2023-04-19_161759_
MixedGrapeJuice,1,D3,3,well_5_2023-04-19_161805_
MixedGrapeJuice,1,D3,13,well_6_2023-04-19_161810_
MixedGrapeJuice,1,D3,12,well_7_2023-04-19_161816_
MixedGrapeJuice,1,D3,3,well_8_2023-04-19_161821_
MixedGrapeJuice,1,D3,6,well_9_2023-04-19_161827_
MixedGrapeJuice,1,D3,10,well_10_2023-04-19_161832_
MixedGrapeJuice,1,D3,4,well_11_2023-04-19_161838_
MixedGrapeJuice,1,D3,12,well_12_2023-04-19_161844_
MixedGrapeJuice,1,D3,8,well_13_2023-04-19_161849_
MixedGrapeJuice,1,D3,9,well_14_2023-04-19_161855_
MixedGrapeJuice,1,D3,21,well_15_2023-04-19_161900_
